Relations not resolved
--------------------------------------------
Castle.Components.DictionaryAdapter.Xml.XPathCompiler/Tokenizer/State 1 occurrences
Microsoft.Build.BackEnd.Logging.BaseConsoleLogger/PerformanceCounter/DescendingByElapsedTime 1 occurrences
Microsoft.Build.Construction.ProjectElementContainer/ProjectElementSiblingEnumerable/ProjectElementSiblingEnumerator 1 occurrences
Microsoft.Build.Evaluation.Project/ProjectImpl/BuildEnabledSetting 1 occurrences
Microsoft.Build.Evaluation.Project/ProjectImpl/CumulativeRemoveElementData 1 occurrences
Microsoft.Build.Execution.HostServices/HostObjects/TargetTaskKey 2 occurrences
Microsoft.Build.Execution.ProjectItemInstance/TaskItem/BuiltInMetadataTable 1 occurrences
Microsoft.Build.Execution.ProjectItemInstance/TaskItem/ProjectItemInstanceFactory 4 occurrences
Microsoft.Build.Execution.ProjectItemInstance/TaskItem/TaskItemFactory 1 occurrences
Microsoft.Build.Execution.TaskRegistry/RegisteredTaskIdentity/RegisteredTaskIdentityComparer 2 occurrences
Microsoft.Build.Execution.TaskRegistry/RegisteredTaskRecord/ParameterGroupAndTaskElementRecord 2 occurrences
Microsoft.Build.OpportunisticIntern/BucketedPrioritizedStringList/PrioritizedStringList 1 occurrences
Microsoft.Build.OpportunisticIntern/WeakStringCacheInterner/InternResult 1 occurrences
Microsoft.Build.Shared.CanonicalError/Parts/Category 3 occurrences
Microsoft.Build.Shared.InprocTrackingNativeMethods/FileTrackerDllStub/SafeLibraryHandle 1 occurrences
Microsoft.Build.Tasks.XmlPeek/XmlInput/XmlModes 1 occurrences
Microsoft.Build.Tasks.XslTransformation/XmlInput/XmlModes 1 occurrences
Microsoft.Build.Tasks.XslTransformation/XsltInput/XslModes 1 occurrences
Microsoft.CSharp.CSharpCodeProvider 2 occurrences
Microsoft.CSharp.RuntimeBinder.Binder 1 occurrences
Microsoft.Win32.CommonDialog 1 occurrences
Microsoft.Win32.FileDialog 1 occurrences
Microsoft.Win32.OpenFileDialog 1 occurrences
Microsoft.Win32.Registry 10 occurrences
Microsoft.Win32.RegistryHive 6 occurrences
Microsoft.Win32.RegistryKey 15 occurrences
Microsoft.Win32.RegistryView 9 occurrences
Microsoft.Win32.SafeHandles.SafeFileHandle 1 occurrences
Microsoft.Win32.SafeHandles.SafeHandleZeroOrMinusOneIsInvalid 2 occurrences
System.AccessViolationException 1 occurrences
System.Action 33 occurrences
System.Action`1 76 occurrences
System.Action`2 14 occurrences
System.Action`3 5 occurrences
System.Activator 34 occurrences
System.AggregateException 13 occurrences
System.AppContext 1 occurrences
System.AppDomain 20 occurrences
System.AppDomainSetup 10 occurrences
System.ApplicationException 4 occurrences
System.ApplicationIdentity 1 occurrences
System.ArgumentException 161 occurrences
System.ArgumentNullException 153 occurrences
System.ArgumentOutOfRangeException 37 occurrences
System.Array 239 occurrences
System.ArraySegment`1 4 occurrences
System.ArrayTypeMismatchException 1 occurrences
System.AsyncCallback 127 occurrences
System.Attribute 159 occurrences
System.AttributeUsageAttribute 3 occurrences
System.BadImageFormatException 8 occurrences
System.BitConverter 9 occurrences
System.Boolean 1465 occurrences
System.Buffer 13 occurrences
System.Byte 260 occurrences
System.Char 179 occurrences
System.CodeDom.CodeArgumentReferenceExpression 2 occurrences
System.CodeDom.CodeArrayCreateExpression 1 occurrences
System.CodeDom.CodeArrayIndexerExpression 1 occurrences
System.CodeDom.CodeAssignStatement 4 occurrences
System.CodeDom.CodeAttributeArgument 2 occurrences
System.CodeDom.CodeAttributeArgumentCollection 2 occurrences
System.CodeDom.CodeAttributeDeclaration 3 occurrences
System.CodeDom.CodeAttributeDeclarationCollection 3 occurrences
System.CodeDom.CodeBinaryOperatorExpression 1 occurrences
System.CodeDom.CodeCastExpression 1 occurrences
System.CodeDom.CodeCommentStatement 3 occurrences
System.CodeDom.CodeCommentStatementCollection 3 occurrences
System.CodeDom.CodeCompileUnit 7 occurrences
System.CodeDom.CodeConditionStatement 2 occurrences
System.CodeDom.CodeConstructor 2 occurrences
System.CodeDom.CodeExpression 2 occurrences
